Date,Direction of Travel,Species
11/16/2010,IN,AMBBIS
11/16/2010,OUT,ACRGRY
11/16/2010,IN,ACRGRY
11/16/2010,OUT,ACRGRY
11/16/2010,OUT,AMBBIS
11/17/2010,IN,ACRGRY
11/17/2010,IN,EURQUA
11/17/2010,IN,EURQUA
11/29/2010,OUT,AMBBIS
11/29/2010,OUT,BUFTER
11/29/2010,IN,
11/29/2010,OUT,
11/29/2010,IN,
11/29/2010,OUT,
11/29/2010,IN,
11/29/2010,OUT,
11/29/2010,IN,
11/29/2010,IN,
11/29/2010,OUT,
11/29/2010,IN,
11/29/2010,OUT,
11/29/2010,IN,
11/29/2010,OUT,
11/29/2010,IN,
11/29/2010,OUT,
11/29/2010,IN,
11/29/2010,OUT,
11/29/2010,IN,
11/29/2010,OUT,
11/29/2010,IN,
11/29/2010,OUT,
11/29/2010,IN,
11/29/2010,OUT,
11/29/2010,IN,
11/29/2010,OUT,
11/29/2010,IN,
11/29/2010,OUT,
11/29/2010,IN,
11/29/2010,OUT,
11/29/2010,IN,
11/29/2010,OUT,
11/29/2010,IN,
11/29/2010,OUT,
11/29/2010,IN,
11/29/2010,OUT,
11/29/2010,IN,
11/29/2010,OUT,
11/29/2010,IN,
11/29/2010,OUT,
11/29/2010,IN,
11/29/2010,OUT,
11/29/2010,IN,
11/29/2010,IN,
11/29/2010,OUT,
11/29/2010,IN,
11/29/2010,OUT,
11/29/2010,IN,
11/29/2010,OUT,
11/29/2010,IN,
11/29/2010,OUT,
11/29/2010,IN,
11/29/2010,OUT,
11/29/2010,IN,
11/29/2010,OUT,
11/29/2010,OUT,ACRGRY
11/29/2010,OUT,AMBBIS
11/29/2010,OUT,AMBBIS
11/29/2010,IN,AMBBIS
11/29/2010,OUT,AMBBIS
11/29/2010,IN,AMBBIS
11/29/2010,OUT,AMBBIS
11/29/2010,OUT,AMBBIS
11/29/2010,OUT,AMBBIS
11/29/2010,OUT,EURQUA
11/29/2010,IN,NOTVIR
11/29/2010,OUT,NOTVIR
11/29/2010,IN,PSEORN
11/29/2010,IN,
11/29/2010,OUT,
11/29/2010,IN,
11/29/2010,OUT,
11/29/2010,IN,
11/29/2010,OUT,
11/30/2010,IN,ACRGRY
11/30/2010,IN,ACRGRY
